league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2425,2024-11-10 Stuttgart-Eintracht Frankfurt,2024-11-10,17:30,Stuttgart,2–3,Eintracht Frankfurt,60000,MHPArena,Felix Zwayer,/en/matches/2155226b/Stuttgart-Eintracht-Frankfurt-November-10-2024-Bundesliga
GER-Bundesliga,2425,2024-11-22 Bayern Munich-Augsburg,2024-11-22,20:30,Bayern Munich,3–0,Augsburg,75000,Allianz Arena,Daniel Schlager,/en/matches/797e3d3e/Bayern-Munich-Augsburg-November-22-2024-Bundesliga
GER-Bundesliga,2425,2024-11-23 Dortmund-Freiburg,2024-11-23,15:30,Dortmund,4–0,Freiburg,81365,Signal Iduna Park,Felix Brych,/en/matches/72699490/Dortmund-Freiburg-November-23-2024-Bundesliga
GER-Bundesliga,2425,2024-11-23 Eintracht Frankfurt-Werder Bremen,2024-11-23,18:30,Eintracht Frankfurt,1–0,Werder Bremen,58000,Deutsche Bank Park,Florian Badstübner,/en/matches/b410a6e3/Eintracht-Frankfurt-Werder-Bremen-November-23-2024-Bundesliga
GER-Bundesliga,2425,2024-11-23 Hoffenheim-RB Leipzig,2024-11-23,15:30,Hoffenheim,4–3,RB Leipzig,28023,PreZero Arena,Frank Willenborg,/en/matches/b5f40472/Hoffenheim-RB-Leipzig-November-23-2024-Bundesliga
GER-Bundesliga,2425,2024-11-23 Leverkusen-Heidenheim,2024-11-23,15:30,Leverkusen,5–2,Heidenheim,29103,BayArena,Bastian Dankert,/en/matches/573e0883/Leverkusen-Heidenheim-November-23-2024-Bundesliga
GER-Bundesliga,2425,2024-11-23 Stuttgart-Bochum,2024-11-23,15:30,Stuttgart,2–0,Bochum,59000,MHPArena,Benjamin Brand,/en/matches/9552b88a/Stuttgart-Bochum-November-23-2024-Bundesliga
GER-Bundesliga,2425,2024-11-23 Wolfsburg-Union Berlin,2024-11-23,15:30,Wolfsburg,1–0,Union Berlin,23861,Volkswagen Arena,Tobias Stieler,/en/matches/16895d71/Wolfsburg-Union-Berlin-November-23-2024-Bundesliga
GER-Bundesliga,2425,2024-11-24 Gladbach-St Pauli,2024-11-24,17:30,Gladbach,2–0,St Pauli,54042,Stadion im Borussia-Park,Robin Braun,/en/matches/b0221e69/Monchengladbach-St-Pauli-November-24-2024-Bundesliga
GER-Bundesliga,2425,2024-11-24 Holstein Kiel-Mainz 05,2024-11-24,15:30,Holstein Kiel,0–3,Mainz 05,14906,Holstein-Stadion,Sascha Stegemann,/en/matches/eb577d48/Holstein-Kiel-Mainz-05-November-24-2024-Bundesliga
GER-Bundesliga,2425,2024-11-29 St Pauli-Holstein Kiel,2024-11-29,20:30,St Pauli,3–1,Holstein Kiel,29546,Millerntor-Stadion,Felix Zwayer,/en/matches/5c8b9990/St-Pauli-Holstein-Kiel-November-29-2024-Bundesliga
GER-Bundesliga,2425,2024-11-30 Augsburg-Bochum,2024-11-30,15:30,Augsburg,1–0,Bochum,29556,WWK Arena,Tobias Reichel,/en/matches/b1e5b315/Augsburg-Bochum-November-30-2024-Bundesliga
GER-Bundesliga,2425,2024-11-30 Dortmund-Bayern Munich,2024-11-30,18:30,Dortmund,1–1,Bayern Munich,81365,Signal Iduna Park,Sven Jablonski,/en/matches/77d36005/Der-Klassiker-Dortmund-Bayern-Munich-November-30-2024-Bundesliga
GER-Bundesliga,2425,2024-11-30 Freiburg-Gladbach,2024-11-30,15:30,Freiburg,3–1,Gladbach,34700,Europa-Park Stadion,Robert Hartmann,/en/matches/358ea55d/Freiburg-Monchengladbach-November-30-2024-Bundesliga
GER-Bundesliga,2425,2024-11-30 RB Leipzig-Wolfsburg,2024-11-30,15:30,RB Leipzig,1–5,Wolfsburg,40000,Red Bull Arena,Martin Petersen,/en/matches/b0c93fa3/RB-Leipzig-Wolfsburg-November-30-2024-Bundesliga
GER-Bundesliga,2425,2024-11-30 Union Berlin-Leverkusen,2024-11-30,15:30,Union Berlin,1–2,Leverkusen,22012,Stadion An der Alten Försterei,Christian Dingert,/en/matches/19910993/Union-Berlin-Leverkusen-November-30-2024-Bundesliga
GER-Bundesliga,2425,2024-11-30 Werder Bremen-Stuttgart,2024-11-30,15:30,Werder Bremen,2–2,Stuttgart,42100,Weserstadion,Harm Osmers,/en/matches/61c993b3/Werder-Bremen-Stuttgart-November-30-2024-Bundesliga
GER-Bundesliga,2425,2024-12-01 Heidenheim-Eintracht Frankfurt,2024-12-01,17:30,Heidenheim,0–4,Eintracht Frankfurt,15000,Voith-Arena,Florian Exner,/en/matches/055831dc/Heidenheim-Eintracht-Frankfurt-December-1-2024-Bundesliga
GER-Bundesliga,2425,2024-12-01 Mainz 05-Hoffenheim,2024-12-01,15:30,Mainz 05,2–0,Hoffenheim,30400,Mewa Arena,Daniel Siebert,/en/matches/16d2485c/Mainz-05-Hoffenheim-December-1-2024-Bundesliga
